broker_name,website,profile_slug,action,match_method,reported_regulator_count,research_tool_vendors,needs_review
Phyntex,,phyntex,ADDED,NEW_PROFILE,1,,YES
Invistro,,invistro,ADDED,NEW_PROFILE,1,,YES
WeGolden,,wegolden,ADDED,NEW_PROFILE,1,,YES
WINGO MARKETS,,wingo-markets,ADDED,NEW_PROFILE,1,,YES
YWO,,ywo,ADDED,NEW_PROFILE,1,,YES
ELEV8,,elev8,ADDED,NEW_PROFILE,1,,YES
eplanet,,eplanet,ADDED,NEW_PROFILE,1,,YES
INZO,,inzo,ADDED,NEW_PROFILE,1,,YES
LDN Global Markets,,ldn-global-markets,ADDED,NEW_PROFILE,1,,YES
Valbury,,valbury,ADDED,NEW_PROFILE,2,,YES
Dupoin,,dupoin,ADDED,NEW_PROFILE,3,,YES
KVB,,kvb,ADDED,NEW_PROFILE,3,,YES
FINEX,,finex,ADDED,NEW_PROFILE,2,,YES
TPFx,,tpfx,ADDED,NEW_PROFILE,2,,YES
DIDIMAX,,didimax,ADDED,NEW_PROFILE,2,,YES
International Business Futures,,international-business-futures,ADDED,NEW_PROFILE,2,,YES
maxco,,maxco,ADDED,NEW_PROFILE,2,,YES
EsaFX,,esafx,ADDED,NEW_PROFILE,2,,YES
MAHADANA,,mahadana,ADDED,NEW_PROFILE,2,,YES
MRG MEGA BERJANGKA,,mrg-mega-berjangka,ADDED,NEW_PROFILE,2,,YES
SFI,,sfi,ADDED,NEW_PROFILE,2,,YES
PREMIER EQUITY FUTURES,,premier-equity-futures,ADDED,NEW_PROFILE,2,,YES
PT. Gatra Mega Berjangka,,pt-gatra-mega-berjangka,ADDED,NEW_PROFILE,2,,YES
ORBI TRADE BERJANGKA,,orbi-trade-berjangka,ADDED,NEW_PROFILE,2,,YES
PG berjangka,,pg-berjangka,ADDED,NEW_PROFILE,2,,YES
GENESIS,,genesis,ADDED,NEW_PROFILE,2,,YES
BestProfit,,bestprofit,ADDED,NEW_PROFILE,2,,YES
Menara Mas Futures,,menara-mas-futures,ADDED,NEW_PROFILE,2,,YES
TRIDENT PRO FUTURES,,trident-pro-futures,ADDED,NEW_PROFILE,2,,YES
United Asia Futures,,united-asia-futures,ADDED,NEW_PROFILE,2,,YES
IDFX,,idfx,ADDED,NEW_PROFILE,2,,YES
PanEn Kapital Berjangka,,panen-kapital-berjangka,ADDED,NEW_PROFILE,2,,YES
INVETRA TEKNOLOGI BERJANGKA,,invetra-teknologi-berjangka,ADDED,NEW_PROFILE,2,,YES
Langit Indonesia Berjangka,,langit-indonesia-berjangka,ADDED,NEW_PROFILE,2,,YES
GLOBAL BUANA KARYA,,global-buana-karya,ADDED,NEW_PROFILE,1,,YES
FirstState-Futures,,first-state-futures,MERGED,EXACT_NAME_OR_LEGAL_ENTITY,1,,YES
Valetax,,valetax,ADDED,NEW_PROFILE,1,,YES
Errante,,errante,ADDED,NEW_PROFILE,1,,YES
BROCTAGON prime,,broctagon-prime,ADDED,NEW_PROFILE,1,,YES
Renaissance Capital,,renaissance-capital,ADDED,NEW_PROFILE,1,,YES
ROYAL TRUST FUTURES,,royal-trust-futures,ADDED,NEW_PROFILE,1,,YES
ASIAPRO,,asiapro,ADDED,NEW_PROFILE,1,,YES
HFX,,hfx,ADDED,NEW_PROFILE,1,,YES
XS.com,,xs-com,ADDED,NEW_PROFILE,1,,YES
AETRAM,,aetram,ADDED,NEW_PROFILE,1,,YES
AURUM MARKETS,,aurum-markets,ADDED,NEW_PROFILE,1,,YES
VARIANSE,,varianse,ADDED,NEW_PROFILE,1,,YES
CapitalXtend,,capitalxtend,ADDED,NEW_PROFILE,1,,YES
Amillex,,amillex,ADDED,NEW_PROFILE,1,,YES
Wisuno,,wisuno,ADDED,NEW_PROFILE,1,,YES
ZERO,,zero,ADDED,NEW_PROFILE,1,,YES
Spec Markets,,spec-markets,ADDED,NEW_PROFILE,1,,YES
MENACAPITAL,,mena-capital,MERGED,EXACT_NAME_OR_LEGAL_ENTITY,1,,YES
GODO,,godo,ADDED,NEW_PROFILE,1,,YES
Riyadex,,riyadex,ADDED,NEW_PROFILE,1,,YES
Fortuna Markets,,fortuna-markets,ADDED,NEW_PROFILE,1,,YES
Giraffe Markets,,giraffe-markets,ADDED,NEW_PROFILE,1,,YES
RubyFX,,rubyfx,ADDED,NEW_PROFILE,1,,YES
MBFX,,mbfx,ADDED,NEW_PROFILE,1,,YES
ARFX,,arfx,ADDED,NEW_PROFILE,1,,YES
Forexcitypro,,forexcitypro,ADDED,NEW_PROFILE,1,,YES
FlipTrade Group,,fliptrade-group,ADDED,NEW_PROFILE,1,,YES
Maxify,,maxify,ADDED,NEW_PROFILE,1,,YES
TRADE FX,,trade-fx,ADDED,NEW_PROFILE,1,,YES
POXPRIME,,poxprime,ADDED,NEW_PROFILE,1,,YES
Born2trade,,born2trade,ADDED,NEW_PROFILE,1,,YES
Celestial Trader,,celestial-trader,ADDED,NEW_PROFILE,1,,YES
AMBITIOUS FINCORP,,ambitious-fincorp,ADDED,NEW_PROFILE,1,,YES
Prima Capital,,prima-capital,ADDED,NEW_PROFILE,1,,YES
brillant capital,,brillantcapital,MERGED,EXACT_NAME_OR_LEGAL_ENTITY,1,,YES
VOLURR BROKERAGE,,volurr-brokerage,ADDED,NEW_PROFILE,1,,YES
ATM CAPITAL,,atm-capital,MERGED,EXACT_NAME_OR_LEGAL_ENTITY,1,,YES
SGFX,,sgfx,ADDED,NEW_PROFILE,1,,YES
SEA GLOBAL,,sea-global,ADDED,NEW_PROFILE,1,,YES
RADIANCE MARKETS,,radiance-markets,ADDED,NEW_PROFILE,1,,YES
dragonflyfx,,dragonflyfx,ADDED,NEW_PROFILE,1,,YES
BLUVOX,,bluvox,ADDED,NEW_PROFILE,1,,YES
ByteFX,,bytefx,ADDED,NEW_PROFILE,1,,YES
AKROS,,akros,ADDED,NEW_PROFILE,1,,YES
EDMORA MARKETS,,edmora-markets,ADDED,NEW_PROFILE,1,,YES
