legal_name,company_number,country,regulator,jurisdiction,license_number,license_type,status,source_status,license_date,termination_date,approved_domains,source_url,first_seen,last_seen
D.T. Direct Investment Hub Ltd,354263 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,347/17,Cyprus Investment Firm,ACTIVE,Current investment firm,11/12/2017,,dtdirectinvestment.com; duplitrade.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
DFG Capital (Cyprus) Ltd,127529 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,029/04,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,27/04/2004,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
DPRG IM LTD,HE433850 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,454/25,Cyprus Investment Firm,ACTIVE,Current investment firm,24/03/2025,,dprginvestment.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Daweda Exchange Ltd,343289 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,289/16,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,11/01/2016,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Deloitte Investment Services Ltd,163314 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,068/06,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,22/06/2006,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Doo Financial Cyprus Limited,436509 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,448/24,Cyprus Investment Firm,ACTIVE,Current investment firm,02/09/2024,,doofinancial.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Doto Europe Ltd (Ex Vasby Capital Markets Ltd),HE 407227 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,399/21,Cyprus Investment Firm,ACTIVE,Current investment firm,12/04/2021,,doto.com; doto.eu; eu.doto.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Dragon Capital (Cyprus) Ltd,171623 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,112/10,Cyprus Investment Firm,ACTIVE,Current investment firm,27/01/2010,,dccl.com.cy; dragon-capital.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Dragon Options Ltd,294979 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,223/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,27/01/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
ECOMMBX Investments Limited,324665 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,228/14,Cyprus Investment Firm,ACTIVE,Current investment firm,24/02/2014,,ecommbanx.com; ecommbxinvest.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
ED & F Man Capital Markets CEEMA Ltd,390109 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,377/19,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,29/07/2019,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
EDR Financial Ltd,336081 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,268/15,Cyprus Investment Firm,ACTIVE,Current investment firm,11/02/2015,,triomarkets.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
EFG Cyprus Limited,HE 408062 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,393/20,Cyprus Investment Firm,ACTIVE,Current investment firm,07/12/2020,,cy.efgl.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
EMKAP Ltd (ex MeritKapital Ltd),189316 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,077/06,Cyprus Investment Firm,ACTIVE,Current investment firm,30/11/2006,,emkap.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
EVBX LTD,HE 408588 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,409/22,Cyprus Investment Firm,ACTIVE,Current investment firm,31/01/2022,,vestofx.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
EXOVO LTD,ΗΕ 55341 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,417/22,Cyprus Investment Firm,ACTIVE,Current investment firm,10/10/2022,,exovo.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
EXT Ltd,293592 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,165/12,Cyprus Investment Firm,ACTIVE,Current investment firm,28/02/2012,,cy.exante.eu; exante.eu; ext.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Easy Forex Trading Ltd,203997 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,079/07,Cyprus Investment Firm,ACTIVE,Current investment firm,29/05/2007,,easy-forex.com; easy-markets.com; easymarkets.eu; emarkets-global.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Ebury Partners Markets Cyprus Limited,439971 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,459/25,Cyprus Investment Firm,ACTIVE,Current investment firm,08/09/2025,,ebury.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Eightcap EU Ltd,329922 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,246/14,Cyprus Investment Firm,ACTIVE,Current investment firm,30/07/2014,,eightcap.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Elidi Securities Ltd(ex UGM Securities Ltd),360073 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,352/17,Cyprus Investment Firm,ACTIVE,Current investment firm,28/12/2017,,elidi.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Emporium Capital K.A Ltd,372471 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,358/18,Cyprus Investment Firm,ACTIVE,Current investment firm,14/05/2018,,ecgprime.com; ecgprime.cy; ecgprime.eu; ecgprime.net,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Epidi EU Ltd,ΗΕ 438476 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,461/25,Cyprus Investment Firm,ACTIVE,Current investment firm,20/10/2025,,epidi.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Equiti Global Markets Ltd,415535 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,415/22,Cyprus Investment Firm,ACTIVE,Current investment firm,,,equiti-capital.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Etoro (Europe) Ltd,200585 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,109/10,Cyprus Investment Firm,ACTIVE,Current investment firm,14/01/2010,,etoro.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Eurivex Ltd,255430 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,114/10,Cyprus Investment Firm,ACTIVE,Current investment firm,02/03/2010,,eurivex.com; trade.eurivex.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Eurotrade Investments RGB Ltd,317893 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,279/15,Cyprus Investment Firm,ACTIVE,Current investment firm,07/09/2015,,eurotrader.eu; eurotrader.group; gratis.io,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Exclusive Change Capital Ltd,337858 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,330/17,Cyprus Investment Firm,ACTIVE,Current investment firm,08/08/2017,,excaprime.com; exclusivecapital.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Exelcius Prime Ltd,351869 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,366/18,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,16/07/2018,,1market.eu; 1market.hu; exelciusprime.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Exenico (CY) Ltd (ex Grandis Securities Ltd),360960 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,343/17,Cyprus Investment Firm,ACTIVE,Current investment firm,13/11/2017,,exenico.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Exness (Cy) Ltd,293057 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,178/12,Cyprus Investment Firm,ACTIVE,Current investment firm,05/09/2012,,exness.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
F1Markets Ltd,329568 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,267/15,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,13/01/2015,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FF Simple and Smart Trades Investment Services Ltd,192937 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,080/07,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,07/09/2007,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FIBO Markets Ltd (ex FIBO Group Holdings Ltd),242381 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,118/10,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,14/06/2010,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FP Asset Management Cyprus Ltd,351655 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,317/17,Cyprus Investment Firm,ACTIVE,Current investment firm,20/01/2017,,fp-am.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FX Central Clearing Ltd,258741 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,121/10,Cyprus Investment Firm,ACTIVE,Current investment firm,03/09/2010,,fxcc.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FXBFI Broker Financial Invest Ltd,351508 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,315/16,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,20/09/2016,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FXGLOBE Ltd,254133 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,205/13,Cyprus Investment Firm,ACTIVE,Current investment firm,20/06/2013,,fxglobe.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FXOpen EU Ltd,310300 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,194/13,Cyprus Investment Firm,ACTIVE,Current investment firm,17/04/2013,,fxopen.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
FXPRO Financial Services Ltd,181344 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,078/07,Cyprus Investment Firm,ACTIVE,Current investment firm,05/03/2007,,fxpro-thailand.com; fxpro-vn.com; fxpro.ae; fxpro.cn; fxpro.co.uk; fxpro.com; fxpro.com.au; fxpro.com.my; fxpro.cz; fxpro.de; fxpro.dk; fxpro.ee; fxpro.es; fxpro.fr; fxpro.hr; fxpro.hu; fxpro.it; fxpro.no; fxpro.org.cn; fxpro.pl; fxpro.ro; fxpro.ru; fxpro.se; fxpro.vn,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Falcon Brokers Ltd,266954 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,128/10,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,22/12/2010,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fathom Wealth Management Advisors Ltd,348759 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,306/16,Cyprus Investment Firm,ACTIVE,Current investment firm,05/08/2016,,fathomwma.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Felicitas Management Investment Services Ltd,276340 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,157/11,Cyprus Investment Firm,FORMERLY_AUTHORISED,Withdrawn,,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fenix Capital Markets Trading Ltd,332423 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,308/16,Cyprus Investment Firm,ACTIVE,Current investment firm,11/08/2016,,skyboundwealth.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fenix Capital Markets Trading Ltd,332423 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,276/15,Cyprus Investment Firm,FORMERLY_AUTHORISED,Former investment firm,28/05/2015,28/05/2016,skyboundwealth.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fidelisco Capital Markets Ltd,293785 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,181/12,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,26/10/2012,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fidus Investments Cyprus Ltd,355918 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,326/17,Cyprus Investment Firm,ACTIVE,Current investment firm,12/05/2017,,fidusinvestments.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Finalto EU Ltd (ex Magnasale Trading Ltd),332334 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,264/15,Cyprus Investment Firm,ACTIVE,Current investment firm,07/01/2015,,finalto.mb1.digital,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Finquotes Financial (Cyprus) Ltd,ΗΕ 414581 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,418/22,Cyprus Investment Firm,ACTIVE,Current investment firm,05/09/2022,,finpros.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fintailor Investments Ltd,208674 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,133/11,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,08/02/2011,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Finteractive Ltd,325259 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,238/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,20/06/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
First Prudential Markets Ltd,372179 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,371/18,Cyprus Investment Firm,ACTIVE,Current investment firm,19/11/2018,,fpmarkets.com; fpmarkets.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Forex TB Ltd,310943 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,272/15,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,07/04/2015,,forextb.com; patronfx.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Forextime Ltd,310361 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,185/12,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,13/12/2012,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Foris Capital CY Ltd (ex A.N. Allnew Investments Ltd),348194 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,344/17,Cyprus Investment Firm,ACTIVE,Current investment firm,27/11/2017,,crypto.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fortrade Cyprus Ltd,392231 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,385/20,Cyprus Investment Firm,ACTIVE,Current investment firm,09/03/2020,,fortrade.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Freedom Finance Europe Ltd,324220 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,275/15,Cyprus Investment Firm,ACTIVE,Current investment firm,20/05/2015,,bondsfreedom.com; ffineu.eu; freedom-finance.eu; freedom24.com; freedom24.eu; freedom24.news; freedombroker.eu; freedomfinance.eu; tradernet.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fusion Markets EU Ltd,ΗΕ 434563 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,444/24,Cyprus Investment Firm,ACTIVE,Current investment firm,29/04/2024,,fusionmarkets.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Fxnet Ltd,300624 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,182/12,Cyprus Investment Firm,ACTIVE,Current investment firm,01/11/2012,,emsbrokers.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
GBE Brokers Ltd,324205 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,240/14,Cyprus Investment Firm,ACTIVE,Current investment firm,27/06/2014,,gbebrokers.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
GPB Financial Services Ltd,246301 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,113/10,Cyprus Investment Firm,ACTIVE,Current investment firm,27/01/2010,,gpbfs.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
GS Sharestocks Ltd,334789 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,262/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,29/12/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
GT Investment Services Ltd,389575 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,382/20,Cyprus Investment Firm,ACTIVE,Current investment firm,27/01/2020,,fxgt.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
GTSE Capital Group Ltd (ex Eight Plus Capital Ltd),111588 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,334/17,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,10/08/2017,,gteprime.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Gate Securities (Cyprus) Ltd (ex Sheer Markets (Cyprus) Ltd),HE 404686 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,395/20,Cyprus Investment Firm,ACTIVE,Current investment firm,18/12/2020,,gate-securities.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
General Capital Brokers (GCB) Ltd,345774 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,333/17,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,10/08/2017,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Glestimon Management Ltd,287554 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,233/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,14/05/2014,31/03/2016,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Glistentree Holdings Ltd,322566 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,257/14,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,03/11/2014,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Global Capital Securities & Financial Services Ltd,84381 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,015/03,Cyprus Investment Firm,ACTIVE,Current investment firm,12/05/2003,,globalcapital.com.cy,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Global Trade CIF Ltd,311445 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,190/13,Cyprus Investment Firm,ACTIVE,Current investment firm,24/01/2013,,finansero.com; globaltradecif.com,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Globesco Capital Ltd,373478 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,355/18,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,12/03/2018,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Globia Wealth Ltd,ΗΕ 358345 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,318/17,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,21/02/2017,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Go Markets Ltd (ex Galactus Ltd),351644 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,322/17,Cyprus Investment Firm,ACTIVE,Current investment firm,25/04/2017,,gomarkets.com; gomarkets.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Gobaba FX Cy Ltd,343308 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,290/16,Cyprus Investment Firm,VOLUNTARILY_CANCELLED,Voluntary Renunciation,20/01/2016,,,https://www.cysec.gov.cy/en-GB/entities/investment-firms/former-investment-firms-cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
Goldenburg Group Ltd,328474 ( Registration Date : ),Cyprus,Cyprus Securities and Exchange Commission,Cyprus,242/14,Cyprus Investment Firm,SURRENDER_PENDING,Under examination for voluntary renunciation,14/07/2014,,goldenburggroup.eu,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/,2026-08-17T11:40:31+00:00,2026-08-17T11:40:31+00:00
